metric name,frequency
term frequency analysis (tf-idf),1
term overlap analysis,1
term-based strategy,1
text mining,1
"text preprocessing (cleaning, tokenization, stemming)",1
textcnn,1
textual and semantic feature analysis,1
tf-idf transformation,1
tf-idf vectorization,1
token similarity algorithm (tsa),1
topic clustering,1
topic entropy analysis,1
topic modeling (lda),1
topic response ratio,1
topic-guided tag ranker,1
topical folksonomy,1
transfer learning,1
"transfer learning (codebert, albert, bert, roberta, bertoverflow)",1
transformer model t5,1
transformer models,1
transformer-based model,1
transformer-based model (multi-head attention mechanism),1
typology-based evaluation,1
unixcoder,1
unsupervised and pre-trained models,1
usability testing,1
user background knowledge analysis,1
user interaction modeling,1
user survey,1
user-oriented feature extraction,1
variable clustering,1
varimax rotation,1
vector similarity (doc2vec),1
vector space model (vsm),1
voting correlation analysis,1
vowpal wabbit,1
vulnerability classification,1
weakly supervised learning,1
weka tool,1
word embedding,1
word embeddings,1
"word embeddings (word2vec, google2vec)",1
word2vec and doc2vec embeddings,1
word2vec embeddings,1
word2vec model,1
wv-cnn,1
wv-lstm,1
wv-rnn,1
